
 QR Code Verifier  v0.2.0
 FAIL  08-08-56_11-04-2024.png
 SCAN  09-14-25_08-04-2024.png - Demo
 SCAN  09-14-54_08-04-2024.png - Demo
 SCAN  09-16-52_08-04-2024.png - Demo
 SCAN  09-15-53_08-04-2024.png - Demo
 SCAN  09-15-24_08-04-2024.png - Demo
 SCAN  09-18-17_08-04-2024.png - Demo
 SCAN  09-19-13_08-04-2024.png - Demo
 SCAN  09-17-21_08-04-2024.png - Demo
 SCAN  09-20-09_08-04-2024.png - Demo
 SCAN  09-21-05_08-04-2024.png - Demo
 SCAN  09-22-01_08-04-2024.png - Demo
 SCAN  09-22-58_08-04-2024.png - Demo
 SCAN  09-23-54_08-04-2024.png - Demo
 SCAN  09-24-50_08-04-2024.png - Demo
 SCAN  09-25-46_08-04-2024.png - Demo
 FAIL  08-15-14_11-04-2024.png
 SCAN  09-16-22_08-04-2024.png - Demo
 SCAN  09-26-42_08-04-2024.png - Demo
 SCAN  09-27-38_08-04-2024.png - Demo
 SCAN  09-29-31_08-04-2024.png - Demo
 SCAN  09-30-27_08-04-2024.png - Demo
 SCAN  09-31-23_08-04-2024.png - Demo
 SCAN  09-32-19_08-04-2024.png - Demo
 SCAN  09-33-15_08-04-2024.png - Demo
 SCAN  09-28-34_08-04-2024.png - Demo
 SCAN  09-34-11_08-04-2024.png - Demo
 SCAN  09-35-07_08-04-2024.png - Demo
 SCAN  09-36-04_08-04-2024.png - Demo
 SCAN  09-37-00_08-04-2024.png - Demo
 SCAN  09-37-56_08-04-2024.png - Demo
 SCAN  09-38-52_08-04-2024.png - Demo
 SCAN  09-39-48_08-04-2024.png - Demo
 SCAN  09-40-44_08-04-2024.png - Demo
 SCAN  09-41-40_08-04-2024.png - Demo
 SCAN  09-42-37_08-04-2024.png - Demo
 SCAN  09-43-32_08-04-2024.png - Demo
 SCAN  09-44-28_08-04-2024.png - Demo
 SCAN  09-45-25_08-04-2024.png - Demo
 SCAN  09-46-21_08-04-2024.png - Demo
 SCAN  09-47-17_08-04-2024.png - Demo
 SCAN  09-48-13_08-04-2024.png - Demo
 SCAN  09-49-09_08-04-2024.png - Demo
 SCAN  09-50-05_08-04-2024.png - Demo
 SCAN  09-51-01_08-04-2024.png - Demo
 SCAN  09-51-58_08-04-2024.png - Demo
 SCAN  09-52-54_08-04-2024.png - Demo
 SCAN  09-53-50_08-04-2024.png - Demo
 SCAN  09-57-34_08-04-2024.png - Demo
 SCAN  09-58-31_08-04-2024.png - Demo
 SCAN  09-54-46_08-04-2024.png - Demo
 SCAN  09-12-56_08-04-2024.png - Demo
 FAIL  08-24-14_11-04-2024.png
 SCAN  09-59-27_08-04-2024.png - Demo
 SCAN  10-03-11_08-04-2024.png - Demo
 SCAN  10-05-04_08-04-2024.png - Demo
 SCAN  10-06-00_08-04-2024.png - Demo
 SCAN  10-06-56_08-04-2024.png - Demo
 SCAN  10-07-52_08-04-2024.png - Demo
 SCAN  10-08-49_08-04-2024.png - Demo
 SCAN  10-09-45_08-04-2024.png - Demo
 SCAN  10-10-41_08-04-2024.png - Demo
 SCAN  10-11-37_08-04-2024.png - Demo
 SCAN  10-12-33_08-04-2024.png - Demo
 SCAN  10-13-29_08-04-2024.png - Demo
 SCAN  10-14-25_08-04-2024.png - Demo
 SCAN  10-16-18_08-04-2024.png - Demo
 SCAN  10-15-22_08-04-2024.png - Demo
 SCAN  10-17-14_08-04-2024.png - Demo
 SCAN  10-18-11_08-04-2024.png - Demo
 SCAN  10-19-07_08-04-2024.png - Demo
 SCAN  10-20-03_08-04-2024.png - Demo
 SCAN  10-00-23_08-04-2024.png - Demo
 SCAN  10-21-56_08-04-2024.png - Demo
 SCAN  10-20-59_08-04-2024.png - Demo
 SCAN  10-22-52_08-04-2024.png - Demo
 SCAN  10-23-48_08-04-2024.png - Demo
 SCAN  10-25-40_08-04-2024.png - Demo
 SCAN  10-26-36_08-04-2024.png - Demo
 SCAN  10-24-44_08-04-2024.png - Demo
 SCAN  10-02-15_08-04-2024.png - Demo
 SCAN  10-28-29_08-04-2024.png - Demo
 SCAN  10-29-25_08-04-2024.png - Demo
 SCAN  10-30-21_08-04-2024.png - Demo
 SCAN  10-27-33_08-04-2024.png - Demo
 SCAN  10-31-17_08-04-2024.png - Demo
 SCAN  10-35-02_08-04-2024.png - Demo
 SCAN  10-32-13_08-04-2024.png - Demo
 SCAN  10-34-06_08-04-2024.png - Demo
 SCAN  10-33-09_08-04-2024.png - Demo
 FAIL  09-55-42_08-04-2024.png
 FAIL  09-56-38_08-04-2024.png
 FAIL  10-01-19_08-04-2024.png
 FAIL  10-04-08_08-04-2024.png
 FAIL  19-53-31_10-04-2024.png
 FAIL  19-54-26_10-04-2024.png
 FAIL  19-55-24_10-04-2024.png
 FAIL  19-56-22_10-04-2024.png
 SCAN  20-03-08_10-04-2024.png - Demo
 SCAN  20-01-12_10-04-2024.png - Demo
 SCAN  20-04-06_10-04-2024.png - Demo
 SCAN  20-05-04_10-04-2024.png - Demo
 SCAN  20-07-59_10-04-2024.png - Demo
 SCAN  20-08-57_10-04-2024.png - Demo
 SCAN  20-09-55_10-04-2024.png - Demo
 FAIL  19-57-20_10-04-2024.png
 FAIL  19-58-18_10-04-2024.png
 SCAN  20-10-53_10-04-2024.png - Demo
 SCAN  20-13-47_10-04-2024.png - Demo
 SCAN  20-12-49_10-04-2024.png - Demo
 FAIL  19-59-16_10-04-2024.png
 SCAN  20-15-44_10-04-2024.png - Demo
 SCAN  20-14-46_10-04-2024.png - Demo
 SCAN  20-16-42_10-04-2024.png - Demo
 SCAN  20-18-38_10-04-2024.png - Demo
 SCAN  20-19-36_10-04-2024.png - Demo
 SCAN  20-11-51_10-04-2024.png - Demo
 SCAN  20-17-40_10-04-2024.png - Demo
 SCAN  20-20-34_10-04-2024.png - Demo
 FAIL  20-00-14_10-04-2024.png
 SCAN  20-22-30_10-04-2024.png - Demo
 SCAN  20-23-28_10-04-2024.png - Demo
 SCAN  20-24-26_10-04-2024.png - Demo
 SCAN  20-21-32_10-04-2024.png - Demo
 SCAN  20-26-23_10-04-2024.png - Demo
 SCAN  20-27-21_10-04-2024.png - Demo
 SCAN  20-28-19_10-04-2024.png - Demo
 SCAN  20-29-17_10-04-2024.png - Demo
 SCAN  20-30-15_10-04-2024.png - Demo
 SCAN  20-25-24_10-04-2024.png - Demo
 SCAN  20-07-00_10-04-2024.png - Demo
 FAIL  20-02-10_10-04-2024.png
 FAIL  20-06-02_10-04-2024.png

Task finished.
214 scannable images, 27 non-scannable images.

Note that non-scannable images do no mean they are impossible to scan,
but at least it indicates they may be hard to scan.
You can utilize https://qrcode.antfu.me to investigate more.

